record_id,problem,action,aircraft_model,manufacturer,source
MN_101119,IDLE MIXTURE NEEDS ADJUSTMENT.,RERIGGED MIXTURE ARM IAW HMI.,,,maintnet
MN_101120,IDLE MIXTURE NEEDS ADJUSTMENT.,REMOVED MIXTURE ARM & REINDEXED AGAIN. A/C WAS STARTED,,,maintnet
MN_101121,IDLE MIXTURE NEEDS ADJUSTMENT.,"REINDEXED MIXTURE CONTROL. RAN UP A/C, MIXTURE RISE STI",,,maintnet
MN_101122,IDLE MIXTURE NEEDS ADJUSTMENT.,"A/C WAS GROUND RAN BY PILOT, IDLE MIXTURE & SPEED NOW C",,,maintnet
MN_101123,IDLE MIXTURE NEEDS ADJUSTMENT.,"A/C/ WAS STARTED, BUT WOULD ONLY RUN A FEW SECONDS. ALL",,,maintnet
MN_101124,CYL #2 INTAKE PIPE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,,,maintnet
MN_101125,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,maintnet
MN_101126,#2 INTAKE LEAKING.,REPLACED GASKET.,,,maintnet
MN_101127,#4 INTAKE LEAKING.,REPLACED GASKET.,,,maintnet
MN_101128,#3 INTAKE LEAKING ON R/H ENGINE.,REPLACED GASKET.,,,maintnet
MN_101129,#3 INTAKE LEAKING ON L/H ENGINE.,"REMOVED & REPLACED INTAKE GASKET, CYL #3.",,,maintnet
MN_101130,#2 & 3 ROCKER COVER LEAKING ON L/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_101131,#2 & 3 ROCKER COVER GASKETS LEAKING ON R/H ENGINE.,"REPLACED #2 & 3 ROCKER COVER GASKETS, R/H.",,,maintnet
MN_101132,"WORN OUT THRUST BUTTON, ROCKER SHAFT CYL #3, L/H ENGINE.",REMOVED & REPLACED THRUST BUTTONS ON CYL #3.,,,maintnet
MN_101133,CYL #1 ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101134,CYL #2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101135,"L/H ENGINE #1, 2 & 4 INTAKES LEAKING.",REMOVED & REPLACED #1 & 2 GASKETS.,,,maintnet
MN_101136,R/H ENGINE #2 CYLINDER COMPRESSION IS LOW.,INSTALLED ROCKER COVER & GASKET.,,,maintnet
MN_101137,"L/H ENGINE #1, 2 & 4 INTAKES LEAKING.",REMOVED & REPLACED CYL #4 INTAKE GASKET.,,,maintnet
MN_101138,R/H ENGINE #2 CYLINDER COMPRESSION IS LOW.,STAKED EXHAUST VALVE. PRESSURE CAME UP TO 65/80 PSI.,,,maintnet
MN_101139,#2 FWD BAFFLE CRACKED.,STOP DRILLED CRACK.,,,maintnet
MN_101140,#4 ROCKER BOX COVER GASKET LEAKING.,INSTALLED #4 ROCKER BOX COVER GASKET.,,,maintnet
MN_101141,BAFFLE CRACKED AFT OF #4 CYL.,FABRICATED PATCH & DOUBLER OF LIKE MATERIAL.,,,maintnet
MN_101142,BAFFLE CRACKED AFT OF #4 CYL.,INSTALLED PATCH & DOUBLER IAW,,,maintnet
MN_101143,BACK L/H BAFFLE IS CRACKED.,STOP DRILLED CRACK.,,,maintnet
MN_101144,#4 INTAKE IS LEAKING.,REMOVED & REPLACED CYL #4 INTAKE GASKET.,,,maintnet
MN_101145,L/H BAFFLE PLUG NEEDS TO BE REPLACED.,REMOVED & REPLACED BAFFLE PLUG.,,,maintnet
MN_101146,R/H BAFFLE SPARK PLUG ACCESS BUTTON WORN.,REMOVED & REPLACED BAFFLE BUTTON.,,,maintnet
MN_101147,ROCKER COVER GASKET CYL #2 & 3 LEAKING.,REPLACED BOTH ROCKER COVER GASKETS.,,,maintnet
MN_101148,CYL #3 AFT BAFFLE SCREW LOOSE.,"REMOVED DIPSTICK HOUSING, REMOVED OIL COOLER FROM BAFFL",,,maintnet
MN_101149,CYL #4 ROCKER COVER IS LEAKING.,REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101150,DIPSTICK TUBE LOOSE.,"TIGHTENED DIPSTICK TUBE, RESAFETIED.",,,maintnet
MN_101151,R/H SIDE BAFFLE IS MISSING A SCREW.,INSTALLED NEW SCREW ON BAFFLE.,,,maintnet
MN_101152,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101153,R/H BACK BAFFLE BRACKET RIVET HEAD IS MISSING.,REMOVED BACK BAFFLE TO GAIN ACCESS. REMVOED RIVETS & RE,,,maintnet
MN_101154,#3 CYL ROCKER COVER GASKET IS LEAKING.,REMOVED GASKET. DURING INSTALLATION TORE NEW GASKET. RE,,,maintnet
MN_101155,"1, 2, & 4 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED ROCKER GASKETS.,,,maintnet
MN_101156,BOTH SPARK PLUG BAFFLE PLUGS ARE WORN.,REMOVED & REPLACED SPARK PLUG BAFFLE PLUGS.,,,maintnet
MN_101157,#3 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED #3 INTAKE GASKET ON R/H ENGINE.,,,maintnet
MN_101158,#4 INTAKE LEAKING ON L/H ENIGNE.,REMOVED & REPLACED #4 INTAKE GASKET ON L/H ENGINE.,,,maintnet
MN_101159,L/H INNER BAFFLE SPRING IS BROKEN.,REMOVED & REPLACED BAFFLE SPRING W/ NEW.,,,maintnet
MN_101160,L/H BAFFLE REQUIRES PATCH.,"FABRICATED PATCH OF LIKE MATERIAL, RIVETED & INSTALLED",,,maintnet
MN_101161,AFT ALT MOUNTING BOLT EATING INTO SCROLL MOUNT.,"INSPECTED MOUNT, NO DEFECTS NOTED.",,,maintnet
MN_101162,EXCESSIVE END PLAY AT THROTTLE CABLE ATTACHMENT.,INSPECTED THROTTLE CABLE ATTACHMENT. NO DEFECTS NOTED.,,,maintnet
MN_101163,#1 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101164,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.,,,maintnet
MN_101165,CYL #2 ROCKER COVER LEAKING.,REMOVED & REPLACED CYL #2 ROCKER COVER GASKET.,,,maintnet
MN_101166,#3 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.,,,maintnet
MN_101167,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET,,,maintnet
MN_101168,#1 INTAKE LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKET.,,,maintnet
MN_101169,#1 & 2 INTAKES LEAKING ON R/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.,,,maintnet
MN_101170,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.,,,maintnet
MN_101171,#2 & 4 BAFFLE OUTER TIE & SPRING BROKEN.,INSTALLED NEW OUTER BAFFLE TIE.,,,maintnet
MN_101172,#2 & 4 BAFFLE INNER TIE & SPRING OUT OF PLACE.,REINSTALLED BAFFLE TIE IN CORRECT POSITION.,,,maintnet
MN_101173,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,maintnet
MN_101174,OIL LEAK FROM L/H ENGINE.,"RAN A/C, LEAK CK GOOD.",,,maintnet
MN_101175,OIL LEAK FROM L/H ENGINE.,TIGHTENED TOP BOLTS ON TOP OF CASE. WASHED ENGINE.,,,maintnet
MN_101176,#2 ROCKER COVER IS LEAKING ON L/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101177,#2 ROCKER COVER IS LEAKING ON R/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101178,#2 ROCKER COVER THRUST BUTTON ON R/H ENGINE IS BROKEN.,REMOVED & REPLACED THRUST BUTTON.,,,maintnet
MN_101179,#2 ROCKER COVER THRUST BUTTONS ON L/H ENGINE ARE BROKEN.,REMOVED & REPLACED THRUST BUTTONS.,,,maintnet
MN_101180,CYL #3 BAFFLE SCREW SECURED TO CRANKCASE MISSING.,INSTALLED NEW SCREW.,,,maintnet
MN_101181,ROCKER COVER GASKET CYL #3 LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,maintnet
MN_101182,BAFFLE SUPPORT ON AFT COPILOT SIDE ENGINE BAFFLE LOOSE.,REMOVED COPILOT SIDE AFT ENGINE BAFFLE. RESECURED BAFFL,,,maintnet
MN_101183,"AFTER COMPLETING STEEP SPIRALS AT POWER IDLE, SMOOTHLY APPLI",MX FLIGHT IS REQUIRED,,,maintnet
MN_101184,"AFTER COMPLETING STEEP SPIRALS AT POWER IDLE, SMOOTHLY APPLI","PERFORMED GROUND RUN OF A/C, UNABLE TO DUPLICATE DISCRE",,,maintnet
MN_101185,R/H ENGINE #3 CYL LOOSE BAFFLE RUBBING ON OIL RETURN LINE CY,ADJUSTED BAFFLE SUPPORT ROD. TIGHTENED LOCK NUTS AFTER,,,maintnet
MN_101186,CYL #2 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,,,maintnet
MN_101187,R/H ENGINE #3 INTAKE IS LEAKING.,REPLACED W/ NEW GASKET.,,,maintnet
MN_101188,"R/H ENGINE, L/H FWD BAFFLE SEAL IS GONE.",INSTALLED NEW BAFFLE SEAL.,,,maintnet
MN_101189,L/H SIDE BAFFLE IS CRACKED.,REPLACED L/H SIDE BAFFLE W/ SERVICEABLE PART.,,,maintnet
MN_101190,PLUGS FOR ENG BAFFLING WORN.,REPLACED BOTH PLUGS.,,,maintnet
MN_101191,#3 & 4 ROCKER COVERS LEAKING.,"REMOVED & REPLACED #3 ROCKER COVER GASKET, TIGHTENED SC",,,maintnet
MN_101192,R/H ENG #2 BAFFLE IS MISSING A BOLT.,INSTALLED NEW SCREW.,,,maintnet
MN_101193,R/H #4 AFT BAFFLE CRACKED.,STOP DRILLED CRACK.,,,maintnet
MN_101194,ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,,,maintnet
MN_101195,SIDE BAFFLE PLUGS HAVE MANY MISSING FINGERS.,REMOVED & REPLACED PLUGS.,,,maintnet
MN_101196,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101197,"BAFFLE SCREW, BEHIND DIPSTICK, IS LOOSE.","REMOVED DIPSTICK, INSTALLED NEW SCREW. REINSTALLED DIPS",,,maintnet
MN_101198,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING ON R/H ENGINE.,REMOVED & REPLACED #2 & 4 CYL ROCKER COVER GASKETS ON R,,,maintnet
MN_101199,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101200,L/H ENGINE BAFFLE SEAL ABOVE #4 CYLINDER IS TORN.,INSTALLED NEW SEAL.,,,maintnet
MN_101201,"ROCKER COVER GASKET CYL #2, R/H ENGINE, LEAKING.",REMOVED & REPLACED GASKET.,,,maintnet
MN_101202,"INTAKE GASKET CYL #3, R/H ENGINE, LEAKING.",REMOVED & REPLACED INTAKE GASKET.,,,maintnet
MN_101203,"CYL #3, 4 ROCKER COVER GASKETS LEAKING ON L/H ENG.",REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_101204,CYL #3 AFT UPPER BAFFLE SEAL IS LOOSE.,RESECURED BAFFLE SEAL.,,,maintnet
MN_101205,BOTH BAFFLE PLUGS ARE MISSING TOO MANY TABS.,INSTALLED BAFFLE PLUGS.,,,maintnet
MN_101206,#4 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,,,maintnet
MN_101207,#4 ROCKER COVER GASKET LEAKING.,REPLACED W/ NEW GASKET.,,,maintnet
MN_101208,SIDE BAFFLE PLUGS ARE MISSING FINGERS.,REPLACED W/ NEW PLUGS.,,,maintnet
MN_101209,#2 & 4 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_101210,"L/H #1, 2 & 3 ROCKER GASKETS ARE LEAKING.",REPLACED ROCKER GASKETS.,,,maintnet
MN_101211,L/H #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,,,maintnet
MN_101212,L/H #3 CYL ROCKER SHAFT THRUST BUTTONS DETERIORATED.,REPLACED BUTTONS.,,,maintnet
MN_101213,"R/H ENG, R/H REAR ENGINE BAFFLE SEAL LOOSE.",REATTACHED R/H REAR BAFFLE.,,,maintnet
MN_101214,#4 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101215,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED #3 ROCKER GASKET.,,,maintnet
MN_101216,#2 & 4 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,,,maintnet
MN_101217,RIVETS MISSING ON ENGINE DATA PLATE.,INSTALLED RIVETS.,,,maintnet
MN_101218,#3 & 4 INTAKES LEAKING ON L/H ENGINE.,REPLACED GASKETS.,,,maintnet
MN_101219,#2 & 3 INTAKES LEAKING ON R/H ENGINE.,REPLACED GASKETS ON 2 & 3.,,,maintnet
MN_101220,#2 ROCKER COVER LEAKING ON R/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101221,"#2, 3 & 4 ROCKER COVERS LEAKING ON L/H ENGINE.",REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_101222,ROCKER COVER GASKET CYL #2 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101223,#2 & 4 ROCKER COVERS LEAKING ON R/H ENGINE.,TIGHTENED ALL ROCKER COVERS.,,,maintnet
MN_101224,"CRACK ON ENGINE BAFFLE, LEFT SIDE, BY #3 CYLINDER.",INSTALLED BAFFLE.,,,maintnet
MN_101225,"CRACK ON ENGINE BAFFLE, LEFT SIDE, BY #3 CYLINDER.","REMOVED BAFFLE, FABRICATED PATCH OF LIKE MATERIAL, RIVE",,,maintnet
MN_101226,L/H BAFFLE SEAL REQUIRES REPLACEMENT.,REMOVED & REPLACED BAFFLE SEAL W/ NEW.,,,maintnet
MN_101227,R/H ENGINE #4 ROCKER COVER LEAKS.,REMOVED & REPLACED R/H ENGINE #4 ROCKER COVER GASKET.,,,maintnet
MN_101228,R/H ENGINE #1 & 4 INTAKES ARE LEAKING.,REMOVED & REPLACED R/H ENGINE #1 & 4 INTAKE GASKETS.,,,maintnet
MN_101229,L/H ENGINE CYL #3 ROCKER GASKET IS LEAKING.,REMOVED & REPLACED L/H ENGINE #3 ROCKER COVER GASKET.,,,maintnet
MN_101230,R/H ENGINE #2 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED R/H ENGINE #2 & 3 ROCKER COVER GASKE,,,maintnet
MN_101231,R/H ENG #4 CYL HAS LOW COMPRESSION (20/80 PSI).,COMPRESSION 20/80. STAKED EXHAUST VALVE W/ NO AFFECT. C,,,maintnet
MN_101232,R/H ENG #4 CYL HAS LOW COMPRESSION (20/80 PSI).,REMOVED & REPLACED #4 CYLINDER IAW DIRECT DRIVE OVERHAU,,,maintnet
MN_101233,R/H #3 AFT BAFFLE SEAL IS LOOSE.,RESECURED BAFFLE SEAL.,,,maintnet
MN_101234,L/H #2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101235,L/H ENGINE O/B BAFFLE TIE ROD BROKEN.,REPLACED BAFFLE TIE ROD.,,,maintnet
MN_101236,"#4 INTAKE GASKET LEAKING, R/H ENGINE.",REMOVED & REPLACED GASKET.,,,maintnet
MN_101237,R/H #2 SIDE BAFFLE SEAL IS LOOSE.,REMOVED & REPLACED BAFFLE SEAL.,,,maintnet
MN_101238,#2 & 4 INTAKES ARE LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,,,maintnet
MN_101239,ENGINE BAFFLE CYL #3 MOUNT BRACKET SHEARED RIVET.,REMOVED & REPLACED RIVETS BY REMOVING BAFFLE & REINSTAL,,,maintnet
MN_101240,L/H BAFFLE PLUG HOLE IS TOO LARGE.,INSTALLED BAFFLE PATCH MADE OUT OF LIKE MATERIAL.,,,maintnet
MN_101241,#3 & 4 INTAKE LEAKING.,REMOVED & REPLACED GASKETS.,,,maintnet
MN_101242,"#2, 3 & 4 ROCKER COVERS LEAKING.",REMOVED & REPLACED GASKETS.,,,maintnet
MN_101243,RIVET SHEARED @ R/H AFT BAFFLE.,REMOVED BAFFLE FROM A/C. REMOVED & REPLACED DAMAGED RIV,,,maintnet
MN_101244,R/H ENGINE OIL RETURN LINES ARE LEAKING.,LEAK CHECK GOOD.,,,maintnet
MN_101245,R/H ENGINE OIL RETURN LINES ARE LEAKING.,TIGHTENED CLAMPS.,,,maintnet
MN_101246,R/H ENGINE #3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101247,L/H ENGINE #4 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,,,maintnet
MN_101248,L/H ENGINE #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,,,maintnet
MN_101249,R/H ENGINE #2 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.,,,maintnet
MN_101250,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101251,#3 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.,,,maintnet
MN_101252,CYL #1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101253,L/H BUTTON PLUG IS WORN.,REMOVED & REPLACED BUTTON PLUG W/ NEW.,,,maintnet
MN_101254,"WHILE TAXING, ENGINE COUGHED & SPUTTERED ANYTIME RPMS WERE B",ENGINE RAN SMOOTH AT DIFFERENT SETTINGS.,,,maintnet
MN_101255,"WHILE TAXING, ENGINE COUGHED & SPUTTERED ANYTIME RPMS WERE B","RAN ENGINE. NOTED DISCREPANCY, ROUGH ENGINE BELOW 1000",,,maintnet
MN_101256,CYL #2 INTAKE PIPE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,,,maintnet
MN_101257,#2 CYL ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER GASKET W/ NEW.,,,maintnet
MN_101258,R/H ENG OIL COOLER BAFFLE CRACKED.,REPLACED CRACKED BAFFLE W/ SERVICEABLE BAFFLE.,,,maintnet
MN_101259,ROCKER COVER GASKET CYL #2 & 3 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_101260,INTERCYLINDER BAFFLE SUPPORT ROD BROKEN.,REMOVED & REPLACED INTERCYLINDER BAFFLE ROD.,,,maintnet
MN_101261,R/H ENG OIL RETURN LIKE CLAMPS ARE LOOSE.,TIGHTENED CLAMPS.,,,maintnet
MN_101262,R/H ENG BAFFLE CRACKED BY OIL COOLER.,"REMOVED OIL COOLER, CLEANED AREA - NO CRACKING NOTED. R",,,maintnet
MN_101263,"L/H ENG, CYL #3 ROCKER COVER GASKET IS LEAKING.",REMOVED & REPLACED L/H ENG CYL #3 ROCKER COVER GASKET.,,,maintnet
MN_101264,CYL #3 ROCKER COVER IS MISSING A SCREW.,INSTALLED NEW SCREW.,,,maintnet
MN_101265,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101266,CYL #2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,,,maintnet
MN_101267,WIRING HOLDER BROKEN ON CYL #1.,REMOVED & REPLACED ANCHOR STAND ASSY.,,,maintnet
MN_101268,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101269,#4 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,,,maintnet
MN_101270,#2 INDUCTION TUBE GASKET LEAKING.,REPLACED GASKET.,,,maintnet
MN_101271,HIDDEN DAMAGE INSP REQUIRED FOR ENG FIRE.,"PERFORMED HIDDEN DAMAGE ON AFFECTED AREA, NO DAMAGE NOT",,,maintnet
MN_101272,#2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,,,maintnet
MN_101273,CYLINDER #3 ROCKER COVER IS LEAKING.,REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101274,"#2 & 1 INTAKE, R/H ENGINE, LEAKING.",REMOVED & REPLACED GASKETS.,,,maintnet
MN_101275,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101276,"L/H ENG INTAKE GASKET, CYL #2, LEAKING.",REMOVED & REPLACED GASKET FOR L/H ENG CYL #2 INTAKE.,,,maintnet
MN_101277,"L/H ENG CYL #1, 2 & 3 ROCKER COVER GASKETS LEAKING.","REMOVED & REPLACED L/H ENG CYL #1, 2, 3 ROCKER COVER GA",,,maintnet
MN_101278,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS ON CYL #1 & 2.,,,maintnet
MN_101279,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101280,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101281,#6 COWL SHOCK MOUNT TORN.,REMOVED & REPLACED COWL SHOCK MOUNT.,,,maintnet
MN_101282,#2 INTAKE LEAKING ON L/H ENGINE.,REMOVED & REPLACED #2 INTAKE GASKET.,,,maintnet
MN_101283,#3 ROCKER COVER LEAKING ON L/H ENGINE.,REMOVED & REPLACED #3 ROCKER GASKET.,,,maintnet
MN_101284,ROCKER COVERS 1 & 3 LEAKING ON R/H ENGINE.,REMOVED & REPLACED ROCKER GASKETS.,,,maintnet
MN_101285,ROCKER COVER GASKET #3 TORN.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101286,L/H & R/H ENGINE BAFFLE PLUGS DAMAGED.,REMOVED & REPLACED L/H & R/H ENGINE BAFFLE PLUGS.,,,maintnet
MN_101287,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101288,L/H ENG #3 CYL ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101289,#3 INTAKE TUBE RUBBING ON BAFFLE.,ADJUSTED BAFFLE.,,,maintnet
MN_101290,#2 INTAKE TUBE LEAKS AT CYLINDER.,REMOVED & REPLACED INTAKE TUBE GASKET & SEAL.,,,maintnet
MN_101291,LOOSE ENGINE GROUND.,TIGHTENED ENGINE GROUND CABLE.,,,maintnet
MN_101292,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.,,,maintnet
MN_101293,ROCKER COVER GASKET CYL #4 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101294,BAFFLE SUPPORT STEEL ROD CYL #2 & 4 MISSING.,INSTALLED NEW BAFFLE FASTENER FOR CYL #2 & 4.,,,maintnet
MN_101295,INTAKE GASKETS CYL #2 & #4 LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,,,maintnet
MN_101296,"ROCKER COVER GASKETS, CYL #2 & 4 LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_101297,#3 CYL AFT BAFFLE BRACKET LOOSE. BRACKET SECURED TO ENGINE C,"REMOVED #3 AFT BAFFLE, REPLACED SCREWS IN BRACKET. REIN",,,maintnet
MN_101298,R/H BAFFLE PLUG NEEDS TO BE REPLACED.,INSTALLED NEW BAFFLE PLUG.,,,maintnet
MN_101299,#3 ROCKER COVER GASKET IS TORN.,INSTALLED NEW #3 ROCKER BOX COVER GASKET.,,,maintnet
MN_101300,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,maintnet
MN_101301,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101302,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101303,ROCKER COVER GASKET #3 TORN.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101304,SIDE BAFFLE PLUGS ARE MISSING FINGERS.,REPLACED W/ NEW PLUGS.,,,maintnet
MN_101305,L/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_101306,ROCKER COVER GASKETS CYL #2 & 3 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101307,INTAKE TUBE LEAKING AT CONNECTION POINT W/ OIL SUMP CYL #4.,"CLEANED & PERFORMED ENGINE RUN UP, CONFIRMED DISCREPANC",,,maintnet
MN_101308,INTAKE TUBE LEAKING AT CONNECTION POINT W/ OIL SUMP CYL #4.,RESWAGED INTAKE PIPE IAW LYCOMING OVERHAUL MANUAL & INS,,,maintnet
MN_101309,UPPER R/H BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.,,,maintnet
MN_101310,"R/H ENGINE RUNNING ROUGH. ENGINE WAS FINE @ LOW ALTITUDES, O","RAN UP A/C, NO ENGINE ROUGHNESS NOTED. CHECKED GOOD AT",,,maintnet
MN_101311,CYL #4 AFT BAFFLE CRACKED.,STOP DRILLED CRACK ON BAFFLE.,,,maintnet
MN_101312,CYL #4 & 2 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_101313,INTAKE #2 LEAKING ON L/H ENGINE.,INSTALLED NEW INTAKE GASKET.,,,maintnet
MN_101314,#2 ROCKER SHAFT THRUST PLUG BROKEN.,INSTALLED NEW ROCKER SHAFT THRUST BUTTON.,,,maintnet
MN_101315,"ROCKER COVERS 2, 3 & 4 LEAKING ON L/H ENGINE.",INSTALLED NEW ROCKER BOX COVER GASKETS.,,,maintnet
MN_101316,LEFT REAR BAFFLE CRACKED ON R/H ENGINE.,REMOVED & REPLACED LEFT REAR BAFFLE ON R/H ENGINE.,,,maintnet
MN_101317,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,,,maintnet
MN_101318,#3 ROCKER GASKET IS LEAKING.,REPLACED ROCKER GASKET.,,,maintnet
MN_101319,L/H ENGINE CYL #2 & 3 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,,,maintnet
MN_101320,L/H ENGINE CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,maintnet
MN_101321,"R/H ENGINE, CYL #3 ROCKER COVER GASKET LEAKING.",REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,maintnet
MN_101322,#1 INTAKE GASKET LEAKING.,REPLACED GASKET.,,,maintnet
MN_101323,#3 ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_101324,ROCKER COVER GASKET ON CYL #2 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_101325,"SHEARED RIVET ON CYL #3 BAFFLE, AFT.",REPLACED RIVETS W/ SCREWS/WASHERS/NUTS.,,,maintnet
MN_101326,#2 & 4 CYL ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_101327,"CYL #3 INTAKE TUBE FLANGE LEAKING FUEL, CONNECTION BETWEEN T",RESWAGED INTAKE TUBE IAW LYCOMING OVERHAUL,,,maintnet
MN_101328,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER BRACKET.,,,maintnet
MN_101329,TOP BAFFLE BACK SIDE RIVETS MISSING.,INSTALLED SCREWS WHERE RIVETS MISSING.,,,maintnet
