record_id,description,aircraft_model,manufacturer,accident_type,date,year,state,city,airport,source
19800924070749I,BAGGAGE DOOR WAS NOT PROPERLY LATCHED ALLOWING BRIEFCASE TO FALL OUT AND STRIKE PROPELLER.,SA226AT,SWRNGN,ME,9-24-19800924,9,L,,L,faa
19800926071329I,NOSE BAGGAGE DOOR CAME OFF IN FLIGHT.,PA34200,PIPER,II,9-26-19800926,9,L,,L,faa
19801001089029I,AIRCRAFT BEGAN TO POP AND SPUTTER AFTER LIFTOFF. LANDED IN FIELD.INLET FUEL SCREEN CHAMBER FULL OF WATER.,A36,BEECH,II,10-01-19801001,10,L,,L,faa
19801002072409I,ZD ZE NOSE BAGGAGE DOOR CAME OPEN ON TAKEOFF RUN. ABORTED TAKEOFF AND RAN OFF END OF RUNWAY. AC OUT OF ANNUAL,PA34200,PIPER,II,10-02-19801002,10,L,,L,faa
19801002072439I,ZN PILOT DID NOT GET GREEN LIGHTS WITH GEAR EXTENSION AND DID NOT TRY TO EXTEND MANUALLY. GEAR COLLAPSED ON LANDING,320F,CESSNA,EQ,10-02-19801002,10,L,,L,faa
19801009081049I,PILOT STARTED TO TAXI FROM TIEDOWN SPOT WHEN RIGHT BRAKE FAILED. AIRCRAFT STRUCK PARKED AIRCRAFT.,AA1A,GULSTM,II,10-09-19801009,10,L,,L,faa
19801013077609I,"EMERGENCY LANDING DUE TO LOSS OF OIL. AIRCRAFT JUST SERVICED, OIL CAP NOT SECURED, PILOT FAILED TO CHECK.",RC3,STOLAM,II,10-13-19801013,10,H,,H,faa
19801014084349I,"ATTEMPTED SINGLE ENGINE FERRY AFTER PERMIT HAD BEEN DENIED.  LOST RPM, LANDED IN OCEAN.  FLOTATION GEAR WORKED OK.",S58E,SKRSKY,AU,10-14-19801014,10,G,PWA,G,faa
19801020083779I,UNSCHEDULED LANDING AFTER NOTICING OIL LEAK. OIL CAP NOT SECURED PROPERLY.,PA31350,PIPER,II,10-20-19801020,10,L,LYC,L,faa
19801021077929I,NOSE GEAR STUCK ON RETRACTION AND COULD NOT BE EXTENDED. MECHANIC HAD FAILED TO CONNECT DOORS AFTER MAINTENANCE.,310Q,CESSNA,II,10-21-19801021,10,L,,L,faa
19801101078729I,"AIRCRAFT LOST BRAKE WHILE MAKING LEFT TURN. ON APPLICATION OF RIGHT BRAKE,AIRCRAFT LEFT RUNWAY AND STRUCK TREES.",172,CESSNA,II,11-01-19801101,11,H,,H,faa
19801105078969I,PILOT TOOK OFF WITH THE ELEVATOR STUCK IN THE FULL NOSE UP POSITION. WAS ABLE TO BREAK IT LOOSE AND LAND.,172N,CESSNA,II,11-05-19801105,11,H,,H,faa
19800923070849I,"TOOK OFF WITH ONE GENERATOR INOPERATIVE, THE OTHER THEN FAILED, CAUSING INSUFFICIENT POWER TO LOCK LANDING GEAR.",60,BEECH,AU,9-23-19800923,9,L,,L,faa
19800922070659I,PROPELLER PICKED UP GROUNDING CABLE FROM RAMP AND DAMAGED AIRCRAFT.,340CESSNA,CESSNA,AF,9-22-19800922,9,L,,L,faa
19800922070309I,NOSE GEAR COLLAPSED AFTER LANDING WITH FLAT TIRE.,PA28R201T,PIPER,AU,9-22-19800922,9,L,,L,faa
19800903086869I,"FORCED LANDING AFTER FUEL WAS EXHAUSTED. FOUND LOOSE FUEL CAP ALLOWING FUEL TO SIPHON OVERBOARD,",7ECA,BBAVIA,II,9-03-19800903,9,H,,H,faa
19800920069449I,FORCED LANDING AFTER ENGINE QUIT SHORTLY AFTER TAKEOFF. FOUND WATER IN FUEL.,PA28R200,PIPER,II,9-20-19800920,9,L,,L,faa
19800908069749I,FUEL ADDED FROM TANK ON LOADING TRUCK PRIOR TO DEPARTURE FOR SPRAYING. ENGINE STOPPED DUE TO WATER IN THE FUEL.,188B,CESSNA,II,9-08-19800908,9,L,,L,faa
19801026075989I,AIRCRAFT TOOK OFF WITH WING TIP MISSING.,172K,CESSNA,AU,10-26-19801026,10,H,,H,faa
19800901067979I,POWER LOSS OCCURRED. MADE EMERGENCY LANDING. WATER IN SEDIMENT BOWL OF FUEL SYSTEM.,PA18150,PIPER,II,9-01-19800901,9,H,,H,faa
19800904089099I,AMATEUR BUILT PLANE WOULD NOT DEVELOP SUFFICIENT RPM BECAUSE OF INCORRECT PROP INSTALLATION.,LUTONLA4A,AMTRPH,AU,9-04-19800904,9,H,,H,faa
19801105083419I,ZA PILOT STOPPED FOR FUEL. ON TAKEOFF ENGINE QUIT. WTER FOUND IN FUEL TANKS STRAINER AND T FITTING.,150J,CESSNA,II,11-05-19801105,11,H,,H,faa
19800917083909I,TEMPORARY LOSS OF ENGINE POWER AFTER PILOT KICKED FUEL SELECTOR.,PA32/,PIPER,ME,9-17-19800917,9,,,,faa
19800926071449I,UNSCHEDULED LANDING AFTER CABLE BLEW INTO TAIL ROTOR CAUSING IT TO SEPERATE AIRCRAFT.,205A1,BELL,ME,9-26-19800926,9,G,,G,faa
19800921042509A,"NOSED UP NEAR STALL ON TAKEOFF. PILOT REMOVED CONTROL LOCK, RECOVERED TO HIGH SINK RATE AT GROUND IMPACT.",DHC6300,DHAV,II,9-21-19800921,9,H,,H,faa
19800921081689I,ENGINE QUIT MOMENTARILY AFTER TAKEOFF CAUSING WING TO STRIKE A TREE. FOUND WATER IN THE FUEL.,182A,CESSNA,II,9-21-19800921,9,H,,H,faa
19801005048649A,"LIFTED OFF WITH EFFORT, AIRPLANE NOSE HEAVY, ABORTED, SLAMMED INTO RUNWAY NOSE DOWN. FOUND ELEVATOR TRIM FULL DOWN.",182L,CESSNA,II,10-05-19801005,10,H,,H,faa
19800901081639I,FORCED LANDING AFTER ENGINE QUIT. FOUND WATER IN FUEL.,150,CESSNA,II,9-01-19800901,9,H,,H,faa
19801015057189A,"NOT SATISFIED WITH PERFORMANCE. ABORTED TAKEOFF. LANDED, RAN OFF END OF RUNWAY. SUSPECT FRONT ON WINGS.",1082,UNIVAR,II,10-15-19801015,10,H,,H,faa
19800901067929I,"OIL PRESSURE BEGAN TO RISE. PILOT NOTIFIED CENTER. DIP STICK LOOSE, LOW OIL QUANTITY.",76,BEECH,II,9-01-19800901,9,L,,L,faa
19801020075389I,ENGINE SHUT DOWN DUE TO LOSS OF OIL PRESSURE. LOSS OF OIL WAS DUE TO LOOSE OIL CAP.,500CESSNA,CESSNA,II,10-20-19801020,10,L,PWA,L,faa
19800907069679I,"DOWNLOCK PINS IMPROPERLY INSTALLED AFTER LANDING, NOT FLAGGED, NOT REMOVED BEFORE TAKEOFF.",SD330,STBROS,II,9-07-19800907,9,H,,H,faa
19801114074879I,"ZE ZW NOSE BAGGAGE DOOR CAME OPEN AT ROTATION, TAKE OFF ABORTED. SLID SIDEWAYS ON ICE AND SNOW, GEAR COLLAPSED.",402B,CESSNA,II,11-14-19801114,11,L,,L,faa
19801024077939I,"ZA ZG ZR NOSE GEAR COULD NOT BE EXTENDED, STUCK BY LOOSE GEAR DOOR. AIRCRAFT NOT RELEASED BY MAINTENANCE.",320E,CESSNA,II,10-24-19801024,10,L,,L,faa
19800911070199I,PILOT ENTERED CONTROL AREA IMPROPERLY. IGNORED TOWER LIGHTS. STATED HE HAD ELECTRICAL FAILURE.,182H,CESSNA,AU,9-11-19800911,9,H,,H,faa
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.,210G,CESSNA,AU,10-05-19801005,10,H,,H,faa
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.,PA30,PIPER,II,11-16-19801116,11,L,,L,faa
19801031066869A,PILOT FAILED TO REPLACE OIL FILLER CAP BEFORE TAKEOFF. ENGINE SIEZED OUT OF OIL. CRASH LANDED ON PRIVATE STRIP.,415C,UNIVAR,II,10-31-19801031,10,L,,L,faa
19800920042639A,HAD CARB FIRE ON STARTING. ENGINE QUIT EN ROUTE. FOUND STARTING FIRE HAD WARPED CARB DIAPHRAM.,PITTSSPECIAL,AMTRPT,II,9-20-19800920,9,Q,LYC,Q,faa
19801130080689I,PILOT STARTED ENGINE AND TAXIED OUT WITH TOW BAR STILL ATTACHED. PROPELLER WAS DAMAGED.,172M,CESSNA,II,11-30-19801130,11,H,,H,faa
19801208085609I,ENGINE LOST POWER AT CRUISE. LANDED ON HIGHWAY. CAUSE OF WATER CONTAMINATION UNKNOWN.,182P,CESSNA,II,12-08-19801208,12,H,,H,faa
19801219084719I,"ZG PILOT COULD NOT KEEP RIGHT ENGINE RUNNING.  ON INSPECTION, WATER FOUND IN FUEL.",310J,CESSNA,II,12-19-19801219,12,L,CONT,L,faa
19801223085169I,AIRCRAFT TAXIING ONTO RUNWAY FOR TAKEOFF HIT A LARGE UNMARKED HOLE ON EDGE OF RUNWAY AND RUNWAY INTERSECTION.,180J,CESSNA,AF,12-23-19801223,12,H,,H,faa
19801223087189I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,SKYCOUPESA70,AMTR,II,12-23-19801223,12,L,,L,faa
19801223087949I,"ZE ABORTED TAKEOFF, RUN OFF END OF RUNWAY. FOUND ICE BUILDUP ON WINGS.",AA5A,GRUMAV,II,12-23-19801223,12,L,,L,faa
19801227088119I,"ZD ZW UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR STRUT WAS FLAT, HUNG UP WHEN RETRACTED.",310F,CESSNA,II,12-27-19801227,12,L,,L,faa
19801227089509I,ZA ZG ZK NOSE WHEEL AND LOWER STRUT SEPARATED FROM THE AIRCRAFT AFTER LIFT OFF DUE TO A BROKEN AND MISSING BOLT.,1730A,BLANCA,II,12-27-19801227,12,L,,L,faa
19810121012239I,ENGINE STOPPED DURING TAKEOFF. PILOT FEELS CAUSE WAS DUE TO ICE IN T FITTING DRAIN.,150J,CESSNA,II,1-21-19810121,1,H,,H,faa
19810216012039I,ZG CABIN FILLED WITH SMOKE. AIRCRAFT RETURNED. FOUND PIECE OF CHARREL CLOTH FROM ENGINE PLUG LAYING ON EXHAUST.,172M,CESSNA,II,2-16-19810216,2,H,,H,faa
19801205085559I,ABORTED TAKEOFF DUE TO TAKEOFF WARNING HORN. SPEED BRAKE LEVER NOT SEATED PROPERLY.,727222,BOEING,II,12-05-19801205,12,L,,L,faa
19801130083579I,RAN OFF END OF RUNWAY AFTER ATTEMPTING TAKEOFF WITH PARK BRAKE PARTIALLY SET.,PA32RT300,PIPER,ME,11-30-19801130,11,L,,L,faa
19810223013719I,AFTER TAKEOFF SECOND OFFICER OBSERVED AFT BIN LIGHT CAME ON. AIRCRAFT LANDED AND GROUND PERSONNEL FOUND DOOR AJAR.,727227,BOEING,II,2-23-19810223,2,L,,L,faa
19801119080409I,"REAR CARGO DOOR CAME OPEN AT V1, FLIGHT RETURNED. REASON FOR DOOR OPENING IS UNDER INVESTIGATION.",DC9,DOUG,II,11-19-19801119,11,L,,L,faa
19801213084659I,"ZA ENGINE LOST POWER, EMERGENCY LANDING IN FIELD.  TEE FITTING AT LOWEST POINT SOLIDE ICE RESTRICTING FUEL FLOW.",152,CESSNA,II,12-13-19801213,12,H,,H,faa
19801121087109I,"LANDED SHORT OF RUNWAY AFTER ENGINES QUIT. CAUSE WAS FUEL EXHAUSTION, GAUGES WERE INACCURATE.",MU2B20,MTSBSI,II,11-21-19801121,11,H,,H,faa
19810131013859I,ZA ENGINE MALFUNCTION AND EMERGENCY LANDING. SUSPECTED WATER IN FUEL SYSTEM.,S2R,AYRES,II,1-31-19810131,1,L,,L,faa
19801207076399A,PILOT LOST CONTROL & AIRCRAFT CRASHED DURING TAKEOFF DUE TO BOLT COMING OUT OF RUDDER HORN.,8A,LUSCOM,II,12-07-19801207,12,H,,H,faa
19801212087479I,EMERGENCY LANDING AFTER POWER LOSS FOUND WATER IN FUEL TANK.,7AC,BBAVIA,II,12-12-19801212,12,H,CONT,H,faa
19801207087339I,ZN FAILED TO EXTEND GEAR BEFORE LANDING. GEAR WARNING HORN HAD BEEN REMOVED AND THE PILOT HAD BEEN SO ADVISED.,172RG,CESSNA,AU,12-07-19801207,12,H,,H,faa
19810209014479I,DURING TAXI INTO POSITION PROP DAMAGE DUE TO UNKNOWN DEBRIS LEFT FROM RUNWAY MAINTENANCE.,PA28R200,PIPER,AF,2-09-19810209,2,L,,L,faa
19801207087329I,RAN OFF END OF ICY RUNWAY AFTER ABORTING TAKEOFF. FOUND FROST ON AIRCRAFT.,414A,CESSNA,AU,12-07-19801207,12,L,,L,faa
19801117079979I,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.",72731,BOEING,AF,11-17-19801117,11,L,,L,faa
19810207003009A,ENGINE QUIT ON TAKEOFF. CRASH-LANDED IN ROUGH FIELD OFF AIRPORT. FUEL VENT CAPS INCORRECTLY INSTALLED.,VARIEZE,AMTRRU,II,2-07-19810207,2,M,,M,faa
19810130002279A,ENGINE QUIT ON TAKEOFF. DID NOT USE ALTERNATE AIR. POSSIBLE WATER IN FUEL. DITCHED IN LAKE.,M5210C,MAULE,ME,1-30-19810130,1,H,,H,faa
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",310H,CESSNA,II,12-30-19801230,12,L,,L,faa
19810203002549A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT CRASHED WHEN PILOT ATTEMPTED EMERGENCY LANDING. FUEL CONTAMINATION.,180,CESSNA,II,2-03-19810203,2,H,,H,faa
19810111000979A,LOST DIRECTIONAL CONTROL ON LANDING. HIT DITCH ON SIDE OF RUNWAY. NO DEFECTS FOUND. PILOT PROPELLER REVERSING ERROR,MU2B35,MTSBSI,ME,1-11-19810111,1,H,,H,faa
19801209089649I,ZE NOSE WHEEL STEERING DAMAGED BY A 3 INCH VERTICAL RIDGE IN NEWLY LAID RUNWAY SURFACE. SURFACE NOT COMPLIANCE 139,421,CESSNA,AF,12-09-19801209,12,L,,L,faa
19810126001829A,ENGINES QUIT ON TAKEOFF. CRASH-LANDED. AIRPLANE HAD BEEN SERVICED WITH JET A FUEL. PILOT FAILED TO  CHECK FUEL.,700,RKWELL,II,1-26-19810126,1,L,,L,faa
19810210011689I,NOSE GEAR STRUT WAS COLLAPSED. WHEN GEAR RETRACTED A PIN WAS SHEARED. PRIOR TO LANDING GEAR FELL TO DOWN AND LOCKED,95B55,BEECH,II,2-10-19810210,2,L,,L,faa
19810213004059A,HAD ELEVATOR TAB TRIMMED NOSE DOWN. PORPOISED ON ATTEMPTED TAKEOFF. COLLAPSED NOSE GEAR.,F33A,BEECH,ME,2-13-19810213,2,L,,L,faa
19810121002899A,"ICED-UP, NEAR GROSS. CIRCLED TO LAND, FAILED TO SET PROPS OR USE DEICE SYSTEMS. GROUND IMPACT SHORT OF RUNWAY.",340A,CESSNA,ME,1-21-19810121,1,L,,L,faa
19810109007849I,CREW MADE PRECATIONARY LANDING AFTER DETECTING FUEL FUMES IN CABIN. AFT FUEL CAP FOUND IMPROPERLY INSTALLED.,DHC6*,DHAV,II,1-09-19810109,1,H,,H,faa
19801225078089A,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.,1100,FRCHLD,II,12-25-19801225,12,G,,G,faa
19801123080039A,"REAR SEAT FELL FORWARD, JAMMED REAR STICK FORWARD. FOUND RESTRAINT FOR SEAT BACK BROKEN.",7ECA,BBAVIA,DE,11-23-19801123,11,H,,H,faa
19810319010689A,ENGINE QUIT DUE TO FUEL EXHAUSTION ON RIGHT TANK. SELECTED LEFT TANK. FAILED TO USE BOOST PUMP. NOSED OVER LANDING.,A36,BEECH,ME,3-19-19810319,3,L,,L,faa
19810308035069I,DURING LANDING ATC COULD NOT UNDERSTAND PILOT. LATER INVESTIGATION REVEALED AND EXPIRED MEDICAL CERTIFICATE.,PA38112,PIPER,AU,3-08-19810308,3,L,,L,faa
19810315025039I,ENROUTE PILOT SMELLED SMOKE AND SAW FIRE IN AFT PART OF AIRCRAFT. EMERGENCY LANDING. BATTERY BURNED. NO BATTERY LID,177,CESSNA,II,3-15-19810315,3,H,,H,faa
19810422034239I,RETURNED AFTER TAKEOFF DUE TO OIL ON WINDSHIELD. OIL FILLER CAP HAD COME OFF.,207,CESSNA,II,4-22-19810422,4,H,,H,faa
19810518044989I,DURING TAXI AIRCRAFT HAD NO STEERING OR BRAKES. HYDRAULIC SWITCH FOUND IN OFF POSITION.,NA26560,RKWELL,II,5-18-19810518,5,L,,L,faa
19810503034279I,STARTED HELICOPTER WITH MAIN ROTOR STILL TIED DOWN. LEAD WEIGHT ON TIEDOWN STRUCK VERT FIN AND ROTOR BLADE.,206B,BELL,II,5-03-19810503,5,G,,G,faa
19810309010619A,FORGOT TO ENRICH MIXTURE FOR LANDING. ENGINE QUIT DUE TO LEAN MIXTURE. LANDED SHORT OF AIRPORT IN A SWAMP.,152,CESSNA,ME,3-09-19810309,3,H,,H,faa
19810329019909I,DURING TAKEOFF NOSE GEAR AND STRUT FELL OFF.  SCISSORS PIN NOT INSTALLED.,PA31350,PIPER,II,3-29-19810329,3,L,,L,faa
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,195,CESSNA,II,3-03-19810303,3,H,,H,faa
19810414020139A,FORGOT TO REMOVE ENGINE NACELLE COVERS. ENGINE OVERHEATED. STRUCK DITCH ON EMERGENCY LANDING IN A PASTURE.,150M,CESSNA,II,4-14-19810414,4,H,,H,faa
19810516026109A,"FAILED TO LOCK CANOPY BEFORE TAKEOFF. CANOPY CAME OPEN. LOST CONTROL. LANDED IN MUDDY FIELD, FLIPPED OVER.",VARIEZE,AMTRRU,II,5-16-19810516,5,M,,M,faa
19810315009829A,"USED FLAPS IN PLACE OF SPEED BRAKE. OVERSHOT RUNWAY. STALLED, TRYING A GO-AROUND FOR ALTERNATE RUNWAY.",L13BLANIK,LET,ME,3-15-19810315,3,K,,K,faa
19810424018779A,SPOILERS WERE DEPLOYED ON CLIMBOUT ON GLIDER. TOW PILOT RELEASED GLIDER TO CLEAR WIRES. GLIDER CRASHED.,CIRRUS,SPHRTH,ME,4-24-19810424,4,K,,K,faa
19810521027239A,TOOK OFF WITH NOSE WHEEL DISCONNECTED. AIRPLANE RAN OFF RUNWAY ON LANDING.,MU2B26,MTSBSI,II,5-21-19810521,5,H,,H,faa
19810301019129A,"VEERED OFF RUNWAY ON LANDING. UNABLE TO CORRECT. RUDDER PEDAL BLOCKED BY LOOSE CONTROL LOCK, LYING ON FLOOR.",172,CESSNA,II,3-01-19810301,3,H,,H,faa
19810514025209A,ENGINE LOST POWER ON TAKEOFF. LANDED IN SWAMPY TUNDRA END OF RUNWAY. NOSED OVER. FOUND RAG IN ENGINE AIR INTAKE.,A185E,CESSNA,II,5-14-19810514,5,H,CONT,H,faa
19810519026869A,TRIED TO TAKE OFF WITH SKIDS TIED DOWN. HELICOPTER FELL OFF HELIPAD ONTO LOWER DECK. TIE-DOWN NOT FLAGGED.,206B,BELL,II,5-19-19810519,5,G,,G,faa
19810507022549A,"FAILED TO ASSURE DOOR SECURED PRIOR TO TAKEOFF. DOOR OPEN ON CLIMBOUT. LOST CONTROL, CRASH-LANDED OFF END OF RUNWAY",601PSMITH,SMITH,II,5-07-19810507,5,,,,faa
19810312009169A,UNABLE TO LIFT-OFF DURING TAKEOFF FROM A FARM ROAD DUE TO FROST ON AIRPLANE. RIGHT WING STRUCK A TREE.,PA25,PIPER,II,3-12-19810312,3,L,,L,faa
19810718058739I,AIRCRAFT TOUCHED DOWN ON CONCRETE PART OF DRAINAGE AREA ON NEW AIRPORT. DAMAGED GEAR PROPELLER AND WING.,S2A,AYRES,AF,7-18-19810718,7,L,,L,faa
19810616042779I,"PILOT ATTEMPTED LIFTOFF WHILE STILL TIED DOWN, POOR PRE-FLIGHT.",206B,BELL,II,6-16-19810616,6,G,,G,faa
19810710059589I,ZA AFTER TAKEOFF PIECE OF COWLING DEPARTED AIRCRAFT. RETURNED. FOUND LATCHES HAD NOT BEEN SECURED PROPERLY.,AS350D,SNIAS,II,7-10-19810710,7,G,,G,faa
19810729046009A,TRIED TO TAKE OFF WITH GROUND MAN FUELING HELICOPTER. LOST CONTROL AT END OF FUEL HOSE.,OH13M74TEXH,BELL,II,7-29-19810729,7,G,,G,faa
19810729048869A,LEFT BRAKE INOPERATIVE ON LANDING.  RAN OFF ROAD INTO TREES.  FOUND BRAKE RESERVOIR EMPTY.,PA36300,PIPER,II,7-29-19810729,7,L,,L,faa
19810801064069I,"ZA FUEL LEAKING IN FLIGHT,RETURNED, DURING LANDING NOSE GEAR WALKING BEAM FAILED. WALKING BEAM PN 1-261.",STC18BEECH,BEECH,II,8-01-19810801,8,L,,L,faa
19810720043449A,RAN OUT OF FUEL EN ROUTE. CRASHED ON FORCED LANDING. REPORTED FUEL STOLEN AT LAST STOP. FAILED TO CHECK FUEL.,180J,CESSNA,II,7-20-19810720,7,H,,H,faa
19810624044319I,ZA PILOT LANDED IN FIELD AFTER RUNNING OUT OF FUEL. STATED HE FILLED TANK NIGHT BEFORE BUT DID NOT CHECK ON PREFLT,PA25235,PIPER,II,6-24-19810624,6,L,,L,faa
19810719064149I,NOSE GEAR INDICATED UNSAFE. COLLAPSED ON LANDING. LOW NOSE STRUT BINDING ON DRAG BRACE. DRAG BRACE PULLED LOOSE.,402B,CESSNA,II,7-19-19810719,7,L,,L,faa
19810622037779A,PILOT ENGROSSED IN RETRACTING ENGINE ON MOTORIZED GLIDER LOST EXCESS ALTITUDE AND CRASHED ON RIDGE.,PIK20,EIRVON,ME,6-22-19810622,6,K,,K,faa
19810627056699I,"DURING TAXI AT NIGHT STRUCK UNLIGHTED RUNWAY LIGHT, DAMAGING 2 BLADES ON RIGHT PROPELLER.",EMB110P1,EMB,AF,6-27-19810627,6,L,,L,faa
19810802046809A,ENGINES QUIT DUE TO FUEL VENTS BEING PLUGGED. AIRCRAFT DAMAGED DURING EMERGENCY LANDING.,337,CESSNA,II,8-02-19810802,8,H,,H,faa
19810731058459A,PILOT TOOK OFF WITH CONTROL LOCK ON AND CRASHED AFTER CLIMBING TO ALTITUDE OF FORTY FEET.,182F,CESSNA,II,7-31-19810731,7,H,CONT,H,faa
19810723053069I,NOSE BAGGAGE DOOR OPENED ON TAKEOFF AS LUGGAGE SHIFTED AGAINST DOOR. LUGGAGE FELL OUT. ABORTED. ADDED EXTRA LATCH.,207,CESSNA,II,7-23-19810723,7,H,,H,faa
19810615044999I,ABORTED TAKEOFF DUE TO WARNING HORN. RECYCLED FLAPS HORN STOPPED.,72735,BOEING,II,6-15-19810615,6,L,,L,faa
19810623052439I,ZA UNLATCHED ACCESS DOOR TORE OFF IN FLIGHT. MECHANIC FAILED TO FASTEN. PILOT FAILED TO CHECK.,SA316B,AEROSP,II,6-23-19810623,6,G,,G,faa
19810719042119A,UNABLE TO STOP RIGHT DRIFT ON TAKEOFF CLIMB WITH CAMERA MOUNTED ON WING STRUT. TRIP LINE ON WING REDUCED LIFT.,170A,CESSNA,II,7-19-19810719,7,H,,H,faa
19810727060849A,TRIED TO TAKE OFF WITH TIEDOWN ROPE ATTACHED TO SKID. LOST CONTROL. HELICOPTER ROLLED OFF TOP OF BUILDING.,206A,BELL,II,7-27-19810727,7,G,,G,faa
19810630037449A,TRIED TO TAKE OFF WITH UNDER INFLATED TIRE. TIRE WENT FLAT. LOST CONTROL. RAN OFF RUNWAY AND OVERTURNED.,PA12,PIPER,II,6-30-19810630,6,H,,H,faa
19810625036259A,"TRIED TO TAKEOFF FROM TRAILER-BED WITH ONE SKID TIE-DOWN STILL FASTENED. HELICOPTER TOPPLED OVER, HIT GROUND CREW.",OH13M74TEXH,BELL,II,6-25-19810625,6,G,,G,faa
19810710045939A,"UNABLE TO ROTATE. ABORTED TOO LATE. HIT AUTO OFF END OF RUNWAY. FACTORS; PARK BRAKE ON, TRIM NOSE DOWN, AIR DENSITY",R172K,CESSNA,II,7-10-19810710,7,H,,H,faa
19810528031229A,PILOT FORGOT TO USE EMERGENCY GEAR LOWERING SYSTEM TO LOWER LANDING GEAR. LANDED GEAR UP.,A36,BEECH,ME,5-28-19810528,5,L,,L,faa
19810706038519A,LANDING GEAR OLEO STRUT CAME APART DURING TAKEOFF. AIRCRAFT GEAR COLLAPSED AND AIRPLANE NOSED OVER DURING LANDING.,J4A,PIPER,II,7-06-19810706,7,H,,H,faa
19810917083489I,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.",MU2*,MTSBSI,II,9-17-19810917,9,H,ARSRCH,H,faa
19810814063719I,ZA ZG ZH ZK HEAVY RAIN WITH OIL ON WINDSHIELD. LANDED OK. NO OIL LEAKS. ALSO NON COMPLIANCE WITH 91.27 AND 91.31.,206CESSNA,CESSNA,II,8-14-19810814,8,H,,H,faa
19810816052469I,"GEAR SWITCH LEFT IN UP POSITION BY MAINTENANCE, UNOTICED BY PILOT. GEAR COLLAPSED ON TAKEOFF ROLL.",PA24250,PIPER,II,8-16-19810816,8,L,,L,faa
19810914071419I,"JACK PAD FELL FROM WING DURING TAKEOFF, STRUCK AND DAMAGED REAR PROPELLER. PILOT COULD NOT SYNCRONIZE PROPELLERS.",337H,CESSNA,II,9-14-19810914,9,H,CONT,H,faa
19811026083619I,RIGHT MAIN GEAR COLLAPSED ON TAKEOFF ROLL. PILOT AWARE OF GEAR PROBLEM. NO CORRECTIVE ACTION OR SIGN OFF.,PA28R201T,PIPER,AU,10-26-19811026,10,L,CONT,L,faa
19811030085939I,LOUD NOISES ON GEAR RETRACTION ON TAKEOFF. UNSCHEDULED SAFE LANDING MADE. FOUND TOWBAR PIN IN NOSEWHEEL AXLE.,MU2B40,MTSBSI,II,10-30-19811030,10,H,ARSRCH,H,faa
19810901054009A,"TOOK OFF WITH SPOILERS UNLOCKED. EFFORT TO CLOSE,LOST TOWPLANE, RELEASED. TURNED BACK HIT RUNWAY. HIGH SINK RATE.",H301LIBELLE,GLASFL,II,9-01-19810901,9,K,,K,faa
19810831064689I,DURING TAXI PILOT MISUNDERSTOOD INSTRUCTIONS. TAXXIED ON ROAD STRUCK SIGN. THIS IS FIFTH OCCURRENCE ON THIS AIRPORT,182R,CESSNA,AF,8-31-19810831,8,L,,L,faa
19810913072109I,"ZA ZG SUSPECTED FUEL LEAK, RETURNED, NO FUEL LEAK. CORK TYPE VISUAL INDICATOR STUCK, THEN DROPPED SUDDENLY.",A2ALON,UNIVAR,AU,9-13-19810913,9,L,,L,faa
19811028076149I,"GOT OUT OF AIRCRAFT TO TURN PROP THRU. ENGINE STARTED, AIRPLANE COLLIDED WITH PARKED AIRCRAFT. MAGS CHECKED NORMAL.",150G,CESSNA,EQ,10-28-19811028,10,H,CONT,H,faa
19811017077579I,ENGINE COWLING INSPECTION DOOR CAME OFF ON TAKEOFF BECAUSE IT WAS NOT PROPERLY FASTENED. PILOT RETURNED TO PAD.,212,BELL,II,10-17-19811017,10,G,,G,faa
19810906078699I,AIRCRAFT FORCED TO LAND DUE TO FUEL EXHAUSTION. FLIGHT AND GROUND CREWS FAILED TO DETERMINE FUEL ON BOARD.,DC1010,DOUG,II,9-06-19810906,9,L,,L,faa
19810912066689I,DURING TAXI RIGHT WHEEL WENT OFF CONCRETE INTO HIDDEN DITCH. DAMAGED PROPELLER.,PA28180,PIPER,AF,9-12-19810912,9,L,,L,faa
